 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2013,2014,2015
Bhutan,6.9,8.2,10.7,7.7,5.9,7.1,6.8,17.9,4.8,6.7,11.7,7.9,5.1,,2.1,5.7,6.6
Bolivia,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,,6.8,5.5,4.9
Bosnia and Herzegovina,5.5,4.4,5.3,4.0,6.1,8.8,5.4,5.7,5.6,-3.0,0.9,1.0,-0.8,,2.3,1.1,3.1
Botswana,2.0,0.3,6.1,4.6,2.7,4.6,8.4,8.3,6.2,-7.7,8.6,6.0,4.5,,11.3,4.1,-1.7
Brazil,4.1,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,,3.0,0.5,-3.5
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Brunei Darussalam,2.8,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,,-2.1,-2.3,-0.6
Bulgaria,4.9,3.8,5.9,5.2,6.4,7.1,6.9,7.3,6.0,-3.6,1.3,1.9,0.0,,0.9,1.3,3.6
Burkina Faso,1.8,6.6,4.4,7.8,4.5,8.7,6.3,5.7,7.3,3.0,5.4,6.6,6.5,,5.8,4.3,3.9
Burundi,-0.9,2.1,4.4,-1.2,4.8,0.9,5.4,4.8,5.0,3.5,3.8,4.2,4.0,,4.6,4.7,-3.9
Cabo Verde,14.3,2.2,5.3,4.2,10.2,6.9,8.0,15.2,6.7,-1.3,1.5,4.0,1.1,,0.8,0.6,1.0
Cambodia,10.7,7.4,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.0,7.1,7.3,,7.4,7.1,7.0
Cameroon,3.6,4.4,4.2,4.6,6.8,2.0,3.5,4.9,3.5,2.2,3.4,4.1,4.5,,5.4,5.9,5.7
Canada,5.2,1.8,3.0,1.8,3.1,3.2,2.6,2.1,1.0,-2.9,3.1,3.1,1.7,,2.5,2.9,1.0
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Central African Republic,-2.5,4.5,3.6,-5.4,6.0,0.9,4.8,4.6,2.1,1.7,3.0,3.3,4.1,,-36.7,1.0,4.8
Chad,-0.9,11.7,8.5,14.7,33.6,17.3,0.6,3.3,3.1,4.2,13.6,0.1,8.9,,5.7,6.9,2.8
Channel Islands,5.8,-1.5,-1.6,-3.2,0.2,1.4,4.9,5.9,..,..,..,..,..,,..,..,..
Chile,5.3,3.3,3.1,4.1,7.2,5.7,6.3,4.9,3.5,-1.6,5.8,6.1,5.3,,4.0,1.8,2.3
China,8.5,8.3,9.1,10.0,10.1,11.4,12.7,14.2,9.7,9.4,10.6,9.5,7.9,,7.8,7.3,6.9
Colombia,4.4,1.7,2.5,3.9,5.3,4.7,6.7,6.9,3.5,1.7,4.0,6.6,4.0,,4.9,4.4,3.1
Comoros,10.8,2.3,2.3,2.1,1.9,2.8,2.6,0.8,0.4,1.9,2.2,2.6,3.0,,3.5,2.1,1.0
"Congo, Dem. Rep.",-6.9,-2.1,2.9,5.6,6.7,6.1,5.3,6.3,6.2,2.9,7.1,6.9,7.1,,8.5,9.5,6.9
"Congo, Rep.",7.6,3.8,4.6,0.8,3.5,7.8,6.2,-1.6,5.6,7.5,8.8,3.4,3.8,,3.4,6.8,2.6
Costa Rica,3.7,3.5,3.3,4.3,4.3,3.9,7.2,8.2,4.6,-1.0,5.0,4.3,4.8,,2.3,3.5,3.6
Cote d'Ivoire,-2.1,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2.0,-4.4,10.7,,8.9,8.8,8.8
Croatia,3.8,3.4,5.2,5.6,4.1,4.2,4.8,5.2,2.1,-7.4,-1.4,-0.3,-2.2,,-0.6,-0.1,2.3
Cuba,5.9,3.2,1.4,3.8,5.8,11.2,12.1,7.3,4.1,1.5,2.4,2.8,3.0,,2.7,1.0,4.4
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Cyprus,5.7,3.6,3.4,2.5,4.6,3.7,4.5,4.8,3.9,-1.8,1.3,0.3,-3.1,,-5.9,-1.4,2.0
Czech Republic,4.3,2.9,1.7,3.6,4.9,6.5,6.9,5.6,2.7,-4.8,2.3,1.8,-0.8,,-0.5,2.7,5.3
Denmark,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,,0.9,1.6,1.6
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,8.9,9.7
Dominica,0.4,0.5,-1.8,7.7,3.3,-0.1,2.9,6.3,7.1,-1.2,0.7,-0.2,-1.1,,-0.6,4.4,-2.5
Dominican Republic,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,8.3,3.1,2.7,,4.9,7.6,7.0
Ecuador,1.1,4.0,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.9,5.6,,4.9,3.8,0.1
"Egypt, Arab Rep.",5.4,3.5,2.4,3.2,4.1,4.5,6.9,7.1,7.2,4.7,5.1,1.8,2.2,,2.2,2.9,4.4
El Salvador,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,,2.4,2.0,2.4
Equatorial Guinea,18.2,63.4,19.5,14.0,38.0,16.7,7.7,15.3,17.8,1.3,-8.9,6.5,8.3,,-4.1,0.4,-9.1
Eritrea,-3.1,8.8,3.0,-2.7,1.5,2.6,-1.0,1.4,-9.8,3.9,2.2,8.7,..,,..,..,..
Estonia,10.6,6.3,6.1,7.4,6.3,9.4,10.3,7.7,-5.4,-14.7,2.3,7.6,4.3,,1.9,2.9,1.7
Ethiopia,6.1,8.3,1.5,-2.2,13.6,11.8,10.8,11.5,10.8,8.8,12.6,11.2,8.6,,10.6,10.3,10.4
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Fiji,-1.7,2.0,3.2,1.0,5.3,0.7,1.9,-0.9,1.0,-1.4,3.0,2.7,1.4,,4.7,5.6,3.8
Finland,5.6,2.6,1.7,2.0,3.9,2.8,4.1,5.2,0.7,-8.3,3.0,2.6,-1.4,,-0.8,-0.6,0.1
France,3.9,2.0,1.1,0.8,2.8,1.6,2.4,2.4,0.2,-2.9,2.0,2.1,0.2,,0.6,0.9,1.1
French Polynesia,4.0,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Gabon,-1.9,2.1,-0.2,2.2,0.7,2.7,-2.8,6.0,-3.3,0.1,7.1,7.1,5.3,,5.6,4.3,3.9
"Gambia, The",5.5,5.8,-3.3,6.9,7.0,-0.9,1.1,3.6,5.7,6.4,6.5,-4.3,5.6,,4.8,0.9,4.3
Georgia,1.8,4.8,5.5,11.1,5.9,9.6,9.4,12.3,2.3,-3.7,6.2,7.2,6.4,,3.4,4.6,2.9
Germany,3.0,1.7,0.0,-0.7,1.2,0.7,3.7,3.3,1.1,-5.6,4.1,3.7,0.5,,0.5,1.9,1.7
Ghana,3.7,4.0,4.5,5.2,5.6,5.9,6.4,4.3,9.1,4.8,7.9,14.0,9.3,,7.3,4.0,3.8
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Greece,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-9.1,-7.3,,-3.2,0.7,-0.3
Greenland,7.1,1.3,-1.0,4.4,7.1,4.8,5.6,2.4,6.2,0.9,1.7,-0.5,1.4,,-1.7,5.3,0.3
Grenada,4.9,-2.0,3.4,9.5,-0.6,13.3,-4.0,6.1,0.9,-6.6,-0.5,0.8,-1.2,,2.4,7.3,6.4
Guam,..,..,..,0.9,6.4,3.5,-3.8,0.8,1.7,0.3,2.1,0.1,2.0,,1.8,1.6,0.5
Guatemala,3.6,2.3,3.9,2.5,3.2,3.3,5.4,6.3,3.3,0.5,2.9,4.2,3.0,,3.7,4.2,4.1
Guinea,2.5,3.7,5.2,1.2,2.3,3.0,1.2,6.8,4.1,-1.1,4.8,5.6,5.9,,3.9,3.7,3.8
Guinea-Bissau,5.4,2.2,-1.0,0.6,2.8,4.3,2.3,3.3,3.2,3.4,4.6,8.1,-1.7,,3.3,1.0,6.1
Guyana,-1.4,2.2,1.1,-1.0,3.3,-2.0,5.1,7.0,2.0,3.6,4.1,5.2,5.3,,5.0,3.8,3.2
Haiti,0.9,-1.0,-0.3,0.4,-3.5,1.8,2.2,3.3,0.8,3.1,-5.5,5.5,2.9,,4.2,2.8,1.2
Honduras,5.7,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,,2.8,3.1,3.8
"Hong Kong SAR, China",7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,,3.1,2.8,2.4
Hungary,4.2,3.8,4.5,3.8,5.0,4.4,3.9,0.4,0.9,-6.6,0.7,1.7,-1.6,,2.1,4.2,3.4
Iceland,4.6,3.9,0.6,2.4,8.1,6.4,5.0,9.4,1.7,-6.5,-3.6,2.0,1.3,,4.3,2.2,4.3
India,3.8,4.8,3.8,7.9,7.9,9.3,9.3,9.8,3.9,8.5,10.3,6.6,5.5,,6.4,7.4,8.2
Indonesia,4.9,3.6,4.5,4.8,5.0,5.7,5.5,6.3,6.0,4.6,6.2,6.2,6.0,,5.6,5.0,4.9
"Iran, Islamic Rep.",5.9,0.8,7.3,8.7,4.4,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-7.4,,-0.2,4.6,-1.3
Iraq,1.4,2.3,-6.9,-33.1,54.2,4.4,10.2,1.4,8.2,3.4,6.4,7.5,13.9,,7.6,0.7,4.8
Ireland,9.6,5.8,6.3,3.1,6.7,6.0,5.5,5.2,-3.9,-4.6,1.8,3.0,0.0,,1.6,8.3,25.6
Isle of Man,5.3,5.4,5.9,6.3,5.2,5.9,7.7,7.5,9.8,2.1,9.4,4.8,6.2,,4.5,5.0,-3.4
Israel,8.2,0.0,0.2,0.8,4.6,4.1,5.2,5.8,3.0,1.4,5.2,4.7,1.9,,4.1,3.4,3.0
Italy,3.7,1.8,0.2,0.2,1.6,0.9,2.0,1.5,-1.1,-5.5,1.7,0.6,-2.8,,-1.7,0.1,1.0
Jamaica,0.9,1.3,2.0,3.7,1.3,0.9,2.9,1.4,-0.8,-4.3,-1.5,1.7,-0.6,,0.5,0.7,0.9
Japan,2.8,0.4,0.1,1.5,2.2,1.7,1.4,1.7,-1.1,-5.4,4.2,-0.1,1.5,,2.0,0.4,1.4
Jordan,4.2,5.3,5.8,4.2,8.6,8.1,8.1,8.2,7.2,5.5,2.3,2.6,2.7,,2.8,3.1,2.4
Kazakhstan,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.4,4.8,,6.0,4.2,1.2
Kenya,0.6,3.8,0.5,2.9,5.1,5.9,6.5,6.9,0.2,3.3,8.4,6.1,4.6,,5.9,5.4,5.7
Kiribati,6.3,-1.5,3.8,2.0,-1.6,5.0,-1.6,2.2,-1.8,0.3,-1.6,0.5,5.2,,5.8,0.9,10.3
"Korea, Dem. People’s Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
"Korea, Rep.",8.9,4.5,7.4,2.9,4.9,3.9,5.2,5.5,2.8,0.7,6.5,3.7,2.3,,2.9,3.3,2.8
Kosovo,..,27.0,-0.7,6.0,2.6,6.0,4.5,7.3,2.6,3.3,3.3,4.8,2.9,,3.4,1.2,4.1
Kuwait,4.7,0.7,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,,1.1,0.5,0.6
Kyrgyz Republic,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,8.4,2.9,-0.5,6.0,-0.1,,10.9,4.0,3.9
Lao PDR,5.8,5.8,5.9,6.1,6.4,7.1,8.6,7.6,7.8,7.5,8.5,8.0,8.0,,8.0,7.6,7.3
Latvia,5.4,6.5,7.1,8.4,8.3,10.7,11.9,10.0,-3.5,-14.4,-3.9,6.4,4.0,,2.4,1.9,3.0
Lebanon,1.3,3.9,3.4,3.2,5.9,2.7,1.6,9.3,10.5,10.1,8.0,0.9,2.8,,2.6,2.0,0.8
Lesotho,3.9,3.6,0.7,4.6,1.7,3.5,4.2,4.8,6.7,2.2,6.1,6.9,6.0,,1.8,3.1,2.5
Liberia,28.6,2.9,3.8,-30.1,2.6,5.3,8.0,9.5,7.1,5.3,6.1,8.2,8.0,,8.7,0.7,0.0
Libya,3.7,-1.8,-1.0,13.0,4.5,11.9,6.5,6.4,2.7,-0.8,5.0,-62.1,123.1,,-13.6,-24.0,-8.9
Liechtenstein,3.2,-0.7,-1.0,-1.9,3.0,4.8,8.6,3.3,1.8,-1.2,..,..,..,,..,..,..
Lithuania,3.8,6.5,6.8,10.5,6.6,7.7,7.4,11.1,2.6,-14.8,1.6,6.0,3.8,,3.5,3.5,2.0
Luxembourg,8.2,2.5,3.8,1.6,3.6,3.2,5.2,8.4,-1.3,-4.4,4.9,2.5,-0.4,,3.7,5.8,2.9
"Macao SAR, China",5.7,2.9,8.9,11.7,26.8,8.1,13.3,14.4,3.4,1.3,25.3,21.7,9.2,,11.2,-1.2,-21.6
"Macedonia, FYR",4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,,2.9,3.6,3.8
Madagascar,4.8,6.0,-12.7,9.8,5.3,4.6,5.0,6.2,7.1,-4.0,0.3,1.5,3.0,,2.3,3.3,3.1
Malawi,1.6,-5.0,1.7,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,,5.2,5.7,2.8
Malaysia,8.9,0.5,5.4,5.8,6.8,5.3,5.6,6.3,4.8,-1.5,7.4,5.3,5.5,,4.7,6.0,5.0
Maldives,3.8,-3.9,7.3,13.8,6.0,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,,7.3,7.3,2.2
Mali,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,,2.3,7.0,6.0
Malta,6.8,0.6,3.0,2.5,0.4,3.8,1.8,4.0,3.3,-2.5,3.5,1.3,2.7,,4.6,8.1,9.6
Marshall Islands,5.9,5.4,2.6,0.2,0.1,2.9,1.4,3.7,-1.6,-1.6,6.5,1.2,3.5,,2.9,-0.8,-0.4
Mauritania,-0.4,2.0,0.7,6.0,5.7,9.0,18.9,2.8,1.1,-1.0,4.8,4.7,5.8,,6.1,5.6,1.4
Mauritius,9.0,2.6,2.1,3.7,5.7,1.2,8.5,5.7,5.4,3.3,4.4,4.1,3.5,,3.4,3.7,3.5
Mexico,4.9,-0.4,0.0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,,1.4,2.8,3.3
"Micronesia, Fed. Sts.",4.6,1.7,0.6,1.9,-3.1,2.1,-0.1,-2.0,-2.2,1.2,2.0,3.3,-2.0,,-3.9,-2.2,4.9
Moldova,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,6.8,-0.7,,9.4,4.8,-0.4
Monaco,3.9,2.2,1.0,1.1,2.5,1.9,5.0,14.6,10.0,..,..,..,..,,..,..,..
Mongolia,1.1,3.0,4.7,7.0,10.6,7.3,8.6,10.2,8.9,-1.3,6.4,17.3,12.3,,11.6,7.9,2.4
Montenegro,3.1,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,,3.5,1.8,3.4
Morocco,1.9,7.3,3.1,6.0,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,,4.5,2.7,4.5
Mozambique,1.7,12.7,8.8,6.5,7.8,8.7,9.9,7.4,6.9,6.4,6.7,7.1,7.2,,7.1,7.4,6.6
Myanmar,13.7,11.3,12.0,13.8,13.6,13.6,13.1,12.0,10.3,10.6,9.6,5.6,7.3,,8.4,8.0,7.0
Namibia,3.5,1.2,4.8,4.2,12.3,2.5,7.1,6.6,2.6,0.3,6.0,5.1,5.1,,5.6,6.4,6.1
Nauru,..,..,..,..,..,..,..,..,34.4,8.7,13.6,11.7,10.1,,34.2,36.5,2.8
Nepal,6.2,4.8,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.8,,4.1,6.0,3.3
Netherlands,4.2,2.1,0.1,0.3,2.0,2.2,3.5,3.7,1.7,-3.8,1.4,1.7,-1.1,,-0.2,1.4,2.3
New Caledonia,2.1,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
New Zealand,2.3,3.8,5.1,4.5,3.3,3.3,2.6,3.8,-1.5,1.9,1.0,2.7,2.5,,2.0,3.5,4.4
Nicaragua,4.1,3.0,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,,4.9,4.8,4.8
Niger,-1.4,7.1,3.0,5.3,0.1,4.5,5.8,3.1,9.6,-0.7,8.4,2.3,11.8,,5.3,7.5,4.3
Nigeria,5.3,4.4,3.8,10.4,33.7,3.4,8.2,6.8,6.3,6.9,7.8,4.9,4.3,,5.4,6.3,2.7
Northern Mariana Islands,..,..,..,0.4,-3.1,-12.7,-6.9,-6.7,-11.1,-17.5,1.4,-7.7,0.5,,2.7,3.5,3.8
Norway,3.2,2.1,1.4,0.9,4.0,2.6,2.4,3.0,0.5,-1.7,0.7,1.0,2.7,,1.0,2.0,2.0
Oman,5.4,4.5,-1.1,-2.7,1.3,2.5,5.4,4.5,8.2,6.1,4.8,-1.1,9.3,,4.4,2.8,4.7
Pakistan,4.3,2.0,3.2,4.8,7.4,7.7,6.2,4.8,1.7,2.8,1.6,2.7,3.5,,4.4,4.7,4.7
Palau,..,5.6,3.0,-2.5,5.7,6.1,-2.7,0.5,-6.4,-5.3,-0.9,6.3,4.0,,-1.5,2.7,10.1
Panama,2.7,0.6,2.2,4.2,7.5,7.2,8.7,12.0,9.9,1.2,5.8,11.3,9.8,,6.9,5.1,5.6
Papua New Guinea,-2.5,-0.1,-0.2,2.2,2.7,6.3,2.3,11.1,-0.3,6.8,10.1,1.1,4.6,,3.8,15.4,5.3
Paraguay,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.4,-4.0,13.1,4.3,-1.2,,14.0,4.7,3.0
Peru,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,8.3,6.3,6.1,,5.9,2.4,3.3
Philippines,4.4,2.9,3.6,5.0,6.7,4.8,5.2,6.6,4.2,1.1,7.6,3.7,6.7,,7.1,6.1,6.1
Poland,4.6,1.2,2.0,3.6,5.1,3.5,6.2,7.0,4.2,2.8,3.6,5.0,1.6,,1.4,3.3,3.8
Portugal,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.2,-3.0,1.9,-1.8,-4.0,,-1.1,0.9,1.8
Puerto Rico,3.3,6.3,0.9,0.1,8.7,-2.0,-1.4,-1.2,-1.8,-2.0,-0.4,-0.4,0.0,,-0.3,-1.2,-1.1
Qatar,..,3.9,7.2,3.7,19.2,7.5,26.2,18.0,17.7,12.0,19.6,13.4,4.7,,4.4,4.0,3.6
Romania,2.4,5.6,5.2,5.5,8.4,4.2,8.1,6.9,8.3,-5.9,-2.8,2.0,1.2,,3.5,3.1,4.0
Russian Federation,10.0,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.3,3.7,,1.8,0.7,-2.8
Rwanda,8.4,8.5,13.2,2.2,7.4,9.4,9.2,7.6,11.2,6.2,7.3,8.0,8.6,,4.7,7.6,8.9
Samoa,6.9,6.9,4.3,4.5,4.6,4.2,2.0,6.3,1.0,-4.8,0.5,5.8,0.4,,-1.9,1.2,1.6
San Marino,2.2,5.6,0.3,3.9,4.6,2.4,3.9,7.1,1.7,-12.8,-4.7,-9.4,-7.5,,-3.0,-0.9,0.5
Sao Tome and Principe,..,..,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,,4.8,6.5,3.8
Saudi Arabia,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.2,-2.1,5.0,10.0,5.4,,2.7,3.7,4.1
Senegal,3.2,4.6,0.7,6.7,5.9,5.6,2.5,4.9,3.7,2.4,4.2,1.8,4.4,,3.5,4.1,6.5
Serbia,7.8,5.0,7.1,4.4,9.0,5.5,4.9,5.9,5.4,-3.1,0.6,1.4,-1.0,,2.6,-1.8,0.8
Seychelles,1.5,-2.3,1.2,-5.9,-2.9,9.0,9.4,10.4,-2.1,-1.1,6.0,7.9,1.3,,6.0,4.5,4.9
Sierra Leone,6.7,-6.3,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,,20.7,4.6,-20.6
Singapore,8.9,-1.0,4.2,4.4,9.5,7.5,8.9,9.1,1.8,-0.6,15.2,6.4,4.1,,5.1,3.9,2.2
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
Slovak Republic,1.2,3.3,4.5,5.4,5.3,6.8,8.5,10.8,5.6,-5.4,5.0,2.8,1.7,,1.5,2.8,3.9
Slovenia,4.2,2.9,3.8,2.8,4.4,4.0,5.7,6.9,3.3,-7.8,1.2,0.6,-2.7,,-1.1,3.0,2.3
Solomon Islands,-14.3,-8.0,-2.8,6.5,4.9,5.4,6.9,7.3,7.1,-4.7,6.8,13.2,4.6,,3.0,2.3,2.5
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
South Africa,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,3.0,3.3,2.2,,2.5,1.8,1.3
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,-52.4,,29.3,2.9,-0.2
Spain,5.3,4.0,2.9,3.2,3.2,3.7,4.2,3.8,1.1,-3.6,0.0,-1.0,-2.9,,-1.7,1.4,3.4
Sri Lanka,6.0,-1.5,4.0,5.9,5.4,6.2,7.7,6.8,6.0,3.5,8.0,8.4,9.1,,3.4,5.0,5.0
St. Kitts and Nevis,10.7,5.5,2.6,-3.6,3.6,8.8,1.8,-0.2,6.3,-3.0,-2.2,2.4,-0.6,,6.2,6.0,4.0
St. Lucia,0.0,-3.3,0.3,4.3,7.2,-0.4,6.2,1.0,5.7,1.2,-1.6,0.6,0.2,,3.4,-0.2,2.0
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..
St. Vincent and the Grenadines,1.6,1.7,6.3,7.7,4.2,2.5,7.7,-1.6,6.7,-2.1,-3.4,-0.4,1.4,,1.8,1.0,1.8
Sudan,6.3,6.5,6.4,7.7,3.9,7.5,10.1,11.5,7.8,3.2,3.5,-2.0,0.5,,4.4,2.7,4.9
Suriname,-0.1,4.6,4.3,6.0,9.3,4.6,3.8,5.1,4.1,3.0,5.2,5.8,2.7,,2.9,0.3,-2.6
Eswatini,1.8,1.1,4.4,3.9,3.6,6.0,6.0,4.4,0.8,1.6,3.8,2.2,4.7,,6.4,1.9,0.4
Sweden,4.7,1.6,2.1,2.4,4.3,2.8,4.7,3.4,-0.6,-5.2,6.0,2.7,-0.3,,1.2,2.6,4.5
Switzerland,3.9,1.3,0.2,0.0,2.8,3.1,4.0,4.1,2.2,-2.2,3.0,1.7,1.0,,1.9,2.4,1.2
Syrian Arab Republic,2.7,5.2,5.9,0.6,6.9,6.2,5.0,5.7,..,..,..,..,..,,..,..,..
Tajikistan,8.3,10.2,10.8,11.0,10.3,6.7,7.0,7.8,7.9,3.8,6.5,7.4,7.5,,7.4,6.7,6.0
Tanzania,4.9,6.0,7.2,6.9,7.8,8.2,4.7,8.5,5.6,5.4,6.4,7.9,5.1,,7.3,7.0,7.0
Thailand,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,,2.7,1.0,3.0
Timor-Leste,..,9.2,-6.9,-1.2,64.1,35.9,41.7,5.2,10.0,-6.1,-1.2,11.8,5.0,,-11.0,-26.0,20.9
Togo,-0.8,-1.6,-0.9,5.0,2.1,1.2,4.1,2.3,2.2,3.5,4.0,4.9,4.8,,4.0,5.9,5.4
Tonga,3.4,3.6,3.4,2.1,-0.4,1.6,-0.8,-4.2,3.1,2.3,3.6,2.8,0.9,,-3.1,2.1,3.7
